Database version,,,,,,
8,,,,,,
,,,,,,
Table,,,,,,
clusters,,,,,,
Cluster ID, Name, Order,,,,
0,Default,0,,,,
1,Leg,1,,,,
2,Chest,2,,,,
3,Back,3,,,,
,,,,,,
Table,,,,,,
categories,,,,,,
Category ID, Name, Unit, Value Type, Order, Notes, Cluster ID
5,Squat,lbs,integer,0,,1
6,Bench press,lbs,integer,0,,2
7,Deadlift,lbs,integer,0,,1
8,Incline Bench Press,lbs,integer,0,,2
9,Decline Bench Press,lbs,integer,0,,2
10,T bar,lbs,integer,0,,3
11,Seated Row,lbs,integer,0,,3
14,Seated Lat Pulldown,lbs,integer,0,,3
,,,,,,
Table,,,,,,
records,,,,,,
Record ID, Category ID, Value, Date,,,
0,5,160,2/22/2025,,,
1,5,160,2/15/2025,,,
2,5,155,2/8/2025,,,
3,5,155,2/1/2025,,,
4,5,150,1/25/2025,,,
5,5,155,1/18/2025,,,
6,5,150,1/11/2025,,,
7,5,150,1/4/2025,,,
8,5,145,12/28/2024,,,
9,5,145,12/21/2024,,,
10,5,150,12/14/2024,,,
11,5,145,12/7/2024,,,
12,5,145,11/30/2024,,,
13,5,140,11/23/2024,,,
14,5,140,11/16/2024,,,
15,5,140,11/9/2024,,,
16,5,140,11/2/2024,,,
17,5,140,10/26/2024,,,
18,5,145,10/19/2024,,,
19,5,130,10/12/2024,,,
20,5,135,10/5/2024,,,
21,5,135,9/28/2024,,,
22,5,135,9/21/2024,,,
23,5,130,9/14/2024,,,
24,5,130,9/7/2024,,,
25,5,130,8/31/2024,,,
26,5,125,8/24/2024,,,
27,5,130,8/17/2024,,,
28,5,125,8/10/2024,,,
29,5,125,8/3/2024,,,
30,5,125,7/27/2024,,,
31,5,120,7/20/2024,,,
32,5,120,7/13/2024,,,
33,5,120,7/6/2024,,,
34,5,115,6/29/2024,,,
35,5,110,6/22/2024,,,
36,5,100,6/15/2024,,,
37,5,105,6/8/2024,,,
38,5,105,6/1/2024,,,
39,5,110,5/25/2024,,,
40,5,105,5/18/2024,,,
41,5,100,5/11/2024,,,
42,5,100,5/4/2024,,,
43,5,90,4/27/2024,,,
44,5,80,4/20/2024,,,
45,5,75,4/13/2024,,,
46,5,75,4/6/2024,,,
47,5,75,3/30/2024,,,
48,5,70,3/23/2024,,,
49,5,70,3/16/2024,,,
50,5,75,3/9/2024,,,
51,5,70,3/2/2024,,,
52,5,65,2/24/2024,,,
53,5,60,2/17/2024,,,
54,5,55,2/10/2024,,,
55,5,50,2/3/2024,,,
56,5,25,1/27/2024,,,
57,7,215,2/22/2025,,,
58,7,215,2/15/2025,,,
59,7,215,2/8/2025,,,
60,7,215,2/1/2025,,,
61,7,215,1/25/2025,,,
62,7,210,1/18/2025,,,
63,7,210,1/11/2025,,,
64,7,210,1/4/2025,,,
65,7,210,12/28/2024,,,
66,7,210,12/21/2024,,,
67,7,205,12/14/2024,,,
68,7,205,12/7/2024,,,
69,7,205,11/30/2024,,,
70,7,205,11/23/2024,,,
71,7,205,11/16/2024,,,
72,7,205,11/9/2024,,,
73,7,205,11/2/2024,,,
74,7,205,10/26/2024,,,
75,7,200,10/19/2024,,,
76,7,200,10/12/2024,,,
77,7,200,10/5/2024,,,
78,7,195,9/28/2024,,,
79,7,195,9/21/2024,,,
80,7,195,9/14/2024,,,
81,7,195,9/7/2024,,,
82,7,190,8/31/2024,,,
83,7,190,8/24/2024,,,
84,7,190,8/17/2024,,,
85,7,190,8/10/2024,,,
86,7,185,8/3/2024,,,
87,7,185,7/27/2024,,,
88,7,185,7/20/2024,,,
89,7,175,7/13/2024,,,
90,7,175,7/6/2024,,,
91,7,180,6/29/2024,,,
92,7,175,6/22/2024,,,
93,7,175,6/15/2024,,,
94,7,170,6/8/2024,,,
95,7,170,6/1/2024,,,
96,7,160,5/25/2024,,,
97,7,160,5/18/2024,,,
98,7,160,5/11/2024,,,
99,7,150,5/4/2024,,,
100,7,150,4/27/2024,,,
101,7,150,4/20/2024,,,
102,7,125,4/13/2024,,,
103,7,125,4/6/2024,,,
104,7,125,3/30/2024,,,
105,7,100,3/23/2024,,,
106,7,100,3/16/2024,,,
107,7,100,3/9/2024,,,
108,7,90,3/2/2024,,,
109,7,90,2/24/2024,,,
110,7,90,2/17/2024,,,
111,7,90,2/10/2024,,,
112,7,75,2/3/2024,,,
113,7,50,1/27/2024,,,
114,6,135,2/19/2025,,,
115,6,135,2/12/2025,,,
116,6,135,2/5/2025,,,
117,6,155,1/29/2025,,,
118,6,145,1/22/2025,,,
119,6,135,1/15/2025,,,
120,6,135,1/8/2025,,,
121,6,135,1/1/2025,,,
122,6,145,12/25/2024,,,
123,6,145,12/18/2024,,,
124,6,140,12/11/2024,,,
125,6,140,12/4/2024,,,
126,6,140,11/27/2024,,,
127,6,135,11/20/2024,,,
128,6,135,11/13/2024,,,
129,6,135,11/6/2024,,,
130,6,135,10/30/2024,,,
131,6,135,10/23/2024,,,
132,6,135,10/16/2024,,,
133,6,135,10/9/2024,,,
134,6,130,10/2/2024,,,
135,6,130,9/25/2024,,,
136,6,130,9/18/2024,,,
137,6,130,9/11/2024,,,
138,6,130,9/4/2024,,,
139,6,130,8/28/2024,,,
140,6,130,8/21/2024,,,
141,6,125,8/14/2024,,,
142,6,125,8/7/2024,,,
143,6,125,7/31/2024,,,
144,6,120,7/24/2024,,,
145,6,120,7/17/2024,,,
146,6,110,7/10/2024,,,
147,6,105,7/3/2024,,,
148,6,105,6/26/2024,,,
149,6,105,6/19/2024,,,
150,6,100,6/12/2024,,,
151,6,100,6/5/2024,,,
152,6,100,5/29/2024,,,
153,6,95,5/22/2024,,,
154,6,95,5/15/2024,,,
155,6,90,5/8/2024,,,
156,6,85,5/1/2024,,,
157,6,80,4/24/2024,,,
158,6,75,4/17/2024,,,
159,6,60,4/10/2024,,,
160,6,60,4/3/2024,,,
161,6,60,3/27/2024,,,
162,6,45,3/20/2024,,,
163,6,45,3/13/2024,,,
164,6,45,3/6/2024,,,
165,6,45,2/28/2024,,,
166,6,25,2/21/2024,,,
167,6,25,2/14/2024,,,
168,6,25,2/7/2024,,,
169,9,155,2/19/2025,,,
170,9,155,2/12/2025,,,
171,9,155,2/5/2025,,,
172,9,150,1/29/2025,,,
173,9,150,1/22/2025,,,
174,9,150,1/15/2025,,,
175,9,145,1/8/2025,,,
176,9,145,1/1/2025,,,
177,9,145,12/25/2024,,,
178,9,145,12/18/2024,,,
179,9,145,12/11/2024,,,
180,9,145,12/4/2024,,,
181,9,150,11/27/2024,,,
182,9,145,11/20/2024,,,
183,9,145,11/13/2024,,,
184,9,145,11/6/2024,,,
185,9,145,10/30/2024,,,
186,9,140,10/23/2024,,,
187,9,140,10/16/2024,,,
188,9,140,10/9/2024,,,
189,9,135,10/2/2024,,,
190,9,135,9/25/2024,,,
191,9,135,9/18/2024,,,
192,9,135,9/11/2024,,,
193,9,135,9/4/2024,,,
194,9,135,8/28/2024,,,
195,9,130,8/21/2024,,,
196,9,130,8/14/2024,,,
197,9,130,8/7/2024,,,
198,9,125,7/31/2024,,,
199,9,120,7/24/2024,,,
200,9,120,7/17/2024,,,
201,9,120,7/10/2024,,,
